Town,Precinct,CD,Biden,Trump,Total,Other
Providence (pt.),Providence 2829,1,769,174,956,13
Providence (pt.),Providence 2830,1,58,10,70,2
Providence (pt.),Providence 2831,1,690,134,833,9
Providence (pt.),Providence 2832,1,924,231,1166,11
Providence (pt.),Providence 2833,1,451,90,545,4
Providence (pt.),Providence 2834,1,210,48,264,6
Providence (pt.),Providence 2835,2,260,48,309,1
Providence (pt.),Providence 2836,2,11,1,12,0
Providence (pt.),Providence 2837,2,488,87,589,14
Providence (pt.),Providence 2838,2,277,59,340,4
Providence (pt.),Providence 2839,2,465,84,558,9
Providence (pt.),Providence 2840,2,270,50,321,1
Providence (pt.),Providence 2841,2,314,51,370,5
Providence (pt.),Providence 2842,2,155,31,188,2
Providence (pt.),Providence 2843,2,234,64,314,16
Providence (pt.),Providence 2844,2,707,256,987,24
Providence (pt.),Providence 2845,2,438,179,625,8
Providence (pt.),Providence 2846,2,553,205,766,8
Providence (pt.),Providence 2847,2,276,104,383,3
Providence (pt.),Providence 2848,2,106,39,145,0
Providence (pt.),Providence 2849,2,797,309,1123,17
Providence (pt.),Providence 2850,2,437,133,579,9
Providence (pt.),Providence 2851,2,662,222,899,15
Providence (pt.),Providence 2852,2,217,59,279,3
Providence (pt.),Providence 2853,2,187,59,248,2
Providence (pt.),Providence 2854,2,1463,430,1922,29
Providence (pt.),Providence 2855,2,1118,363,1497,16
Providence (pt.),Providence 2856,2,49,18,67,0
Providence (pt.),Providence 2857,2,83,26,112,3
Providence (pt.),Providence 2858,2,265,70,338,3
Providence (pt.),Providence 2859,2,236,38,285,11
Providence (pt.),Providence 2860,2,122,31,154,1
Providence (pt.),Providence 2861,2,1084,206,1318,28
Providence (pt.),Providence 2862,2,1127,177,1320,16
Providence (pt.),Providence 2863,2,514,124,649,11
Providence (pt.),Providence 2864,2,301,53,363,9
Providence (pt.),Providence 2865,2,155,34,189,0
Providence (pt.),Providence 2866,2,856,75,944,13
Providence (pt.),Providence 2867,2,73,23,97,1
Providence (pt.),Providence 2868,2,724,111,839,4
Providence (pt.),Providence 2869,2,101,27,129,1
Providence (pt.),Providence 2870,2,596,204,803,3
Providence (pt.),Providence 2871,2,365,134,504,5
Providence (pt.),Providence 2872,2,70,9,79,0
Providence (pt.),Providence 2873,2,98,27,128,3
Providence (pt.),Providence 2874,2,808,334,1153,11
Providence (pt.),Providence 2875,2,818,318,1148,12
Providence (pt.),Providence 2876,2,479,177,661,5
Providence (pt.),Providence 2877,2,263,137,404,4
Providence (pt.),Providence 2878,2,33,10,44,1
Providence (pt.),Providence 2879,1,579,134,721,8
Providence (pt.),Providence 2880,1,732,65,806,9
Providence (pt.),Providence Limited 1,1,0,1,1,0
Providence (pt.),Providence Limited 2,2,2,0,3,1
Providence (pt.),Providence Presidential,EV,749,175,932,8
Richmond,Richmond 2901,2,1248,1115,2409,46
Richmond,Richmond 2902,2,1076,1184,2308,48
Richmond,Richmond Limited,2,0,0,0,0
Richmond,Richmond Presidential,2,22,44,70,4
Scituate,Scituate 3001,2,875,1295,2203,33
Scituate,Scituate 3002,2,925,1303,2260,32
Scituate,Scituate 3003,2,915,1177,2129,37
Scituate,Scituate Limited,2,0,0,0,0
Scituate,Scituate Presidential,2,20,31,53,2
Smithfield,Smithfield 3101,1,914,1058,2002,30
Smithfield,Smithfield 3102,1,872,832,1734,30
Smithfield,Smithfield 3103,1,904,890,1817,23
Smithfield,Smithfield 3104,1,1033,1052,2107,22
Smithfield,Smithfield 3105,1,945,943,1916,28
Smithfield,Smithfield 3106,1,861,913,1802,28
Smithfield,Smithfield Limited,1,0,0,0,0
Smithfield,Smithfield Presidential,1,37,56,94,1
South Kingstown,South Kingstown 3201,2,438,272,726,16
South Kingstown,South Kingstown 3202,2,1177,525,1735,33
South Kingstown,South Kingstown 3203,2,1224,569,1827,34
South Kingstown,South Kingstown 3204,2,1269,390,1701,42
South Kingstown,South Kingstown 3205,2,1475,478,1988,35
South Kingstown,South Kingstown 3206,2,941,458,1431,32
South Kingstown,South Kingstown 3207,2,1506,598,2150,46
South Kingstown,South Kingstown 3208,2,1546,832,2417,39
South Kingstown,South Kingstown 3209,2,612,349,974,13
South Kingstown,South Kingstown 3210,2,996,497,1508,15
South Kingstown,South Kingstown Limited,2,0,1,1,0
South Kingstown,South Kingstown Presidential,2,70,34,109,5
Tiverton,Tiverton 3301,1,1015,763,1796,18
Tiverton,Tiverton 3302,1,954,788,1766,24
Tiverton,Tiverton 3303,1,584,419,1014,11
Tiverton,Tiverton 3304,1,737,540,1291,14
Tiverton,Tiverton 3305,1,171,143,320,6
Tiverton,Tiverton 3306,1,872,807,1705,26
Tiverton,Tiverton 3307,1,747,505,1271,19
Tiverton,Tiverton Limited,1,5,5,10,0
Tiverton,Tiverton Presidential,1,38,47,87,2
Warren,Warren 3401,1,951,526,1493,16
