County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Palo Pinto,PaloPinto,11,"2,178","10,179","12,485",,,,,,,,,,,,,,,,,,,,,
Panola,Panola,1,"2,057","9,326","11,451",,,,,,,,,,,,,,,,,,,,,
Parker,Parker,12,"13,017","62,045","76,100",,,,,,,,,,,,,,,,,,,,,
Parmer,Parmer,19,488,"2,135","2,650",,,,,,,,,,,,,,,,,,,,,
Pecos,Pecos,23,"1,382","3,215","4,668",,,,,,,,,,,,,,,,,,,,,
Polk,Polk,36,"5,387","18,573","24,181",,,,,,,,,,,,,,,,,,,,,
Potter,Potter,13,"9,921","22,820","33,321",,,,,,,,,,,,,,,,,,,,,
Presidio,Presidio,23,"1,463",721,"2,217",,,,,,,,,,,,,,,,,,,,,
Rains,Rains,4,842,"5,155","6,053",,,,,,,,,,,,,,,,,,,,,
Randall,Randall,13,"12,802","50,796","64,637",,,,,,,,,,,,,,,,,,,,,
Reagan,Reagan,23,172,942,"1,124",,,,,,,,,,,,,,,,,,,,,
Real,Real,21,320,"1,643","1,982",,,,,,,,,,,,,,,,,,,,,
Red River,RedRiver,4,"1,246","4,517","5,806",,,,,,,,,,,,,,,,,,,,,
Reeves,Reeves,23,"1,395","2,254","3,687",,,,,,,,,,,,,,,,,,,,,
Refugio,Refugio,27,"1,108","2,210","3,365",,,,,,,,,,,,,,,,,,,,,
Roberts,Roberts,13,17,529,550,,,,,,,,,,,,,,,,,,,,,
Robertson,Robertson,17,"2,374","5,646","8,099",,,,,,,,,,,,,,,,,,,,,
Rockwall,Rockwall,4,"16,412","36,726","53,870",,,,,,,,,,,,,,,,,,,,,
Runnels,Runnels,11,552,"3,807","4,409",,,,,,,,,,,,,,,,,,,,,
Rusk,Rusk,1,"4,629","16,534","21,368",,,,,,,,,,,,,,,,,,,,,
Sabine,Sabine,1,669,"4,784","5,487",,,,,,,,,,,,,,,,,,,,,
San Augustine,SanAugustine,1,980,"3,007","4,002",,,,,,,,,,,,,,,,,,,,,
San Jacinto,SanJacinto,8,"2,337","10,161","12,638",,,,,,,,,,,,,,,,,,,,,
San Saba,SanSaba,11,287,"2,308","2,602",,,,,,,,,,,,,,,,,,,,,
Schleicher,Schleicher,23,211,940,"1,159",,,,,,,,,,,,,,,,,,,,,
Scurry,Scurry,19,818,"4,983","5,869",,,,,,,,,,,,,,,,,,,,,
Shackelford,Shackelford,19,130,"1,484","1,628",,,,,,,,,,,,,,,,,,,,,
Shelby,Shelby,1,"2,068","7,975","10,084",,,,,,,,,,,,,,,,,,,,,
Sherman,Sherman,13,91,886,991,,,,,,,,,,,,,,,,,,,,,
Smith,Smith,1,"29,615","69,080","100,075",,,,,,,,,,,,,,,,,,,,,
Somervell,Somervell,25,768,"4,105","4,939",,,,,,,,,,,,,,,,,,,,,
Starr,Starr,28,"9,123","8,247","17,525",,,,,,,,,,,,,,,,,,,,,
Sterling,Sterling,11,51,584,639,,,,,,,,,,,,,,,,,,,,,
Stonewall,Stonewall,19,116,615,736,,,,,,,,,,,,,,,,,,,,,
Sutton,Sutton,23,322,"1,222","1,557",,,,,,,,,,,,,,,,,,,,,
Swisher,Swisher,13,478,"1,845","2,355",,,,,,,,,,,,,,,,,,,,,
Taylor,Taylor,19,"14,588","39,547","55,112",,,,,,,,,,,,,,,,,,,,,
Terrell,Terrell,23,119,334,458,,,,,,,,,,,,,,,,,,,,,
Terry,Terry,19,757,"2,812","3,612",,,,,,,,,,,,,,,,,,,,,
Throckmorton,Throckmorton,19,82,806,894,,,,,,,,,,,,,,,,,,,,,
Titus,Titus,4,"2,856","7,570","10,539",,,,,,,,,,,,,,,,,,,,,
Tom Green,TomGreen,11,"12,239","32,313","45,194",,,,,,,,,,,,,,,,,,,,,
Trinity,Trinity,8,"1,323","5,579","6,938",,,,,,,,,,,,,,,,,,,,,
Tyler,Tyler,36,"1,403","8,194","9,660",,,,,,,,,,,,,,,,,,,,,
Upton,Upton,23,170,"1,178","1,368",,,,,,,,,,,,,,,,,,,,,
Uvalde,Uvalde,23,"4,073","6,174","10,342",,,,,,,,,,,,,,,,,,,,,
Val Verde,ValVerde,23,"6,771","8,284","15,272",,,,,,,,,,,,,,,,,,,,,
Van Zandt,VanZandt,5,"3,516","22,270","25,994",,,,,,,,,,,,,,,,,,,,,
Victoria,Victoria,27,"10,380","23,358","34,180",,,,,,,,,,,,,,,,,,,,,
Walker,Walker,8,"7,884","15,375","23,609",,,,,,,,,,,,,,,,,,,,,
Waller,Waller,10,"8,191","14,260","22,734",,,,,,,,,,,,,,,,,,,,,
Ward,Ward,23,764,"3,241","4,060",,,,,,,,,,,,,,,,,,,,,
Washington,Washington,10,"4,261","12,959","17,418",,,,,,,,,,,,,,,,,,,,,
Webb,Webb,28,"41,842","25,904","68,425",,,,,,,,,,,,,,,,,,,,,
Wharton,Wharton,27,"4,694","11,926","16,761",,,,,,,,,,,,,,,,,,,,,
Wheeler,Wheeler,13,168,"2,159","2,337",,,,,,,,,,,,,,,,,,,,,
Wichita,Wichita,13,"13,161","32,069","46,030",,,,,,,,,,,,,,,,,,,,,
Wilbarger,Wilbarger,13,956,"3,524","4,524",,,,,,,,,,,,,,,,,,,,,
Willacy,Willacy,34,"3,108","2,441","5,549",,,,,,,,,,,,,,,,,,,,,
Williamson,Williamson,31,"143,795","139,729","289,312",,,,,,,,,,,,,,,,,,,,,
Winkler,Winkler,23,358,"1,753","2,126",,,,,,,,,,,,,,,,,,,,,
Yoakum,Yoakum,19,420,"2,174","2,631",,,,,,,,,,,,,,,,,,,,,
Young,Young,19,"1,034","7,110","8,238",,,,,,,,,,,,,,,,,,,,,
